Rank,Title,Genre,Number_of_season,Number_of_episodes,Type,Actors,Creators,Origin,Language,Certification,Rating
1,Planet Earth II,[' Documentary'],1,6 episodes,"TV Mini-Series (2016)
",[' David Attenborough\n'],[],['UK'],English,,9.5
2,Planète Terre,[' Documentary'],1,11 episodes,"TV Mini-Series (2006)
","[' David Attenborough\n', ' Sigourney Weaver\n', ' Thomas Anguti Johnston\n']",[],['UK'],English,Tous publics,9.4
3,Frères d'armes,"[' Action', ' Drama', ' History', ' War']",1,10 episodes,"TV Mini-Series (2001)
","[' Scott Grimes\n', ' Damian Lewis\n', ' Ron Livingston\n', ' Shane Taylor\n', ' Donnie Wahlberg\n', ' Peter Youngblood Hills\n', ' Matthew Leitch\n', ' Rod Strohl\n', ' Nicholas Aaron\n', ' Philip Barantini\n', ' Michael Cudlitz\n', ' Dexter Fletcher\n', ' Rick Gomez\n', ' James Madio\n', ' Ross McCall\n', ' Doug Allen\n', ' George Calil\n', ' Nolan Hemmings\n', ' Robin Laing\n', ' Neal McDonough\n', ' Rick Warden\n', ' Dale Dye\n', ' Michael Fassbender\n', ' Frank John Hughes\n', ' Tim Matthews\n', ' Rene L. Moreno\n', ' Douglas Spain\n', ' Richard Speight Jr.\n', ' Kirk Acevedo\n', ' Eion Bailey\n', ' Craig Heaney\n', ' Peter McCabe\n', ' Matthew Settle\n', ' Ben Caplan\n', ' Mark Huberman\n', ' Phil McKee\n']",[],"['USA', 'UK']",Lithuanian,Tous publics,9.4
4,Breaking Bad,"[' Crime', ' Drama', ' Thriller']",5,62 episodes,"TV Series (2008–2013)
","[' Bryan Cranston\n', ' Anna Gunn\n', ' Aaron Paul\n', ' Betsy Brandt\n', ' RJ Mitte\n', ' Dean Norris\n', ' Bob Odenkirk\n', ' Steven Michael Quezada\n', ' Jonathan Banks\n', ' Giancarlo Esposito\n']",['Vince Gilligan'],['USA'],Spanish,Tous publics,9.5
5,Chernobyl,"[' Drama', ' History', ' Thriller']",1,5 episodes,"TV Mini-Series (2019)
","[' Jessie Buckley\n', ' Jared Harris\n', ' Stellan Skarsgård\n', ' Adam Nagaitis\n', ' Emily Watson\n', ' Paul Ritter\n', ' Robert Emms\n', ' Sam Troughton\n', ' Karl Davies\n', ' Michael Socha\n', ' Laura Elphinstone\n', ' Jan Ricica\n', ' Adrian Rawlins\n', ' Alan Williams\n', "" Con O'Neill\n"", ' Douggie McMeekin\n', ' Nadia Clifford\n', ' David Dencik\n', ' Gerard Kearns\n', ' Mark Lewis Jones\n', ' Adam Lundgren\n', ' Michael Shaeffer\n', ' Jamie Sives\n', ' Ron Cook\n', ' Povilas Jatkevicius\n', ' Jay Simpson\n', ' Joshua Leese\n', ' Ross Armstrong\n', ' Paulius Markevicius\n', ' Billy Postlethwaite\n', ' Ralph Ineson\n', ' Baltasar Breki Samper\n', ' Barry Keoghan\n', ' Philip Barantini\n', ' Amanda Drew\n', ' Oscar Dyekjær Giese\n', ' Karolis Kasperavicius\n', ' Cait Davis\n', ' Darius Petkevicius\n', ' Donald Sumpter\n', ' Tomas Zaibus\n']",['Craig Mazin'],"['USA', 'UK']",English,12,9.4
6,Sur écoute,"[' Crime', ' Drama', ' Thriller']",5,60 episodes,"TV Series (2002–2008)
","[' Dominic West\n', ' John Doman\n', ' Deirdre Lovejoy\n', ' Wendell Pierce\n', ' Lance Reddick\n', ' Sonja Sohn\n', ' Seth Gilliam\n', ' Domenick Lombardozzi\n', ' Clarke Peters\n', ' Andre Royo\n', ' Michael Kenneth Williams\n', ' Jim True-Frost\n', ' Frankie Faison\n', ' Corey Parker Robinson\n', ' Delaney Williams\n', ' J.D. Williams\n', ' Wood Harris\n', ' Idris Elba\n', ' Aidan Gillen\n', ' Jamie Hector\n', ' Gbenga Akinnagbe\n', ' Robert Wisdom\n', ' Anwan Glover\n', ' Felicia Pearson\n', ' Chad L. Coleman\n', ' Tray Chaney\n', ' Michael Kostroff\n', ' Isiah Whitlock Jr.\n', ' Robert F. Chew\n', ' Michael Salconi\n']",['David Simon'],['USA'],Spanish,Tous publics,9.3
7,Blue Planet II,[' Documentary'],1,8 episodes,"TV Mini-Series (2017–2018)
","[' David Attenborough\n', ' Peter Drost\n']",[],['UK'],English,,9.3
8,Notre planète,[' Documentary'],1,8 episodes,"TV Mini-Series (2019)
",[' David Attenborough\n'],[],"['USA', 'UK']",English,7,9.3
9,Cosmos: Une odyssée à travers l'univers,[' Documentary'],1,13 episodes,"TV Series (2014)
",[' Neil deGrasse Tyson\n'],[],['USA'],English,Tous publics,9.3
10,Game of Thrones,"[' Action', ' Adventure', ' Drama', ' Fantasy', ' Romance']",8,73 episodes,"TV Series (2011–2019)
","[' Peter Dinklage\n', ' Lena Headey\n', ' Emilia Clarke\n', ' Kit Harington\n', ' Sophie Turner\n', ' Maisie Williams\n', ' Nikolaj Coster-Waldau\n', ' Iain Glen\n', ' John Bradley\n', ' Alfie Allen\n', ' Conleth Hill\n', ' Liam Cunningham\n', ' Gwendoline Christie\n', ' Aidan Gillen\n', ' Isaac Hempstead Wright\n', ' Rory McCann\n', ' Nathalie Emmanuel\n', ' Jerome Flynn\n', ' Daniel Portman\n', ' Jacob Anderson\n', ' Ben Crompton\n', ' Kristofer Hivju\n', ' Julian Glover\n', ' Carice van Houten\n', ' Charles Dance\n', ' Hannah Murray\n']","['David Benioff', 'D.B. Weiss']","['USA', 'UK']",English,12,9.3
11,Cosmos,[' Documentary'],1,13 episodes,"TV Series (1980)
","[' Carl Sagan\n', ' Jaromír Hanzlík\n', ' Jonathan Fahn\n', ' Alan Belod\n', ' Jean Charney\n', ' Bill Grant\n', ' Bob Hevelone\n', ' Ronald A. Hilbert\n', ' Victor C. John\n', "" Arthur 'Lonne' Lane\n"", ' Linda Morabito\n', ' Larry Soderblom\n', ' Cecilia White\n']","['Ann Druyan', 'Carl Sagan', 'Steven Soter']","['USA', 'UK']",English,,9.3
12,The Last Dance,"[' Documentary', ' Biography', ' History', ' Sport']",1,10 episodes,"TV Mini-Series (2020)
","[' Phil Jackson\n', ' Michael Jordan\n', ' David Aldridge\n', ' Scottie Pippen\n', ' Steve Kerr\n', ' Michael Wilbon\n', ' Deloris Jordan\n', ' Andrea Kremer\n', ' John Paxson\n', ' Bill Wennington\n', ' B.J. Armstrong\n', ' Bob Costas\n', ' Ahmad Rashad\n', ' Jerry Reinsdorf\n', ' Dennis Rodman\n', ' Sam Smith\n', ' David Stern\n', ' Rick Telander\n', ' Mark Vancil\n']",[],['USA'],English,7,9.2
13,Rick et Morty,"[' Animation', ' Adventure', ' Comedy', ' Sci-Fi']",5,42 episodes,"TV Series (2013– )
","[' Justin Roiland\n', ' Chris Parnell\n', ' Spencer Grammer\n', ' Sarah Chalke\n', ' Kari Wahlgren\n', ' Dan Harmon\n', ' Maurice LaMarche\n']","['Dan Harmon', 'Justin Roiland']",['USA'],English,12,9.2
